,T7,F8,Cz,P4
9319,537.0533447265625,-969.0342407226562,429.68646240234375,328.31646728515625
9320,529.2818603515625,-975.1303100585938,430.7672729492188,340.1981201171875
9321,506.8162841796875,-995.41552734375,411.3385009765625,329.4346923828125
9322,517.7779541015625,-987.3148803710938,419.4503479003906,327.3291320800781
9323,535.1310424804689,-969.6812744140624,438.7818908691406,327.5348205566406
9324,524.921142578125,-979.9547729492188,424.0392150878906,334.14697265625
9325,505.260498046875,-999.0993041992188,409.10205078125,331.25604248046875
9326,508.7984313964844,-987.8983154296876,415.2018127441406,326.3118896484375
9327,525.1829223632811,-974.6366577148438,437.5477294921875,332.1349182128906
9328,521.8319702148439,-981.7985229492188,428.8487243652344,333.4887390136719
9329,502.16009521484375,-997.2144165039062,410.4072570800781,334.2778625488281
9330,513.230224609375,-998.175537109375,419.3157043457031,331.0428466796875
9331,527.6250610351561,-981.719970703125,428.71783447265625,326.4652099609375
9332,523.4288940429689,-984.4613647460938,423.9980773925781,332.9277648925781
9333,502.2685546875,-1003.0748291015624,405.5790710449219,330.9418640136719
9334,512.8749389648439,-998.1830444335938,412.1949462890625,324.0043640136719
9335,536.1669921875,-985.3626708984376,431.2460021972656,326.599853515625
9336,539.8021850585939,-989.1436767578124,432.5025939941406,337.16131591796875
9337,502.8183288574219,-1010.932373046875,408.1259460449219,332.0002746582031
9338,518.9485473632811,-1002.88037109375,414.431396484375,330.3846435546875
9339,536.8439331054689,-988.9716796875,435.7600402832031,338.3393859863281
9340,525.8150024414061,-997.7567138671876,427.999755859375,336.4320373535156
9341,503.9253540039063,-1011.3886108398438,409.4349060058594,333.7842102050781
9342,515.4591674804689,-1003.9088134765624,418.7173156738281,329.1429748535156
9343,533.16015625,-991.8775634765624,442.34600830078125,334.4685974121094
9344,527.1426391601561,-995.8643188476562,430.9243774414063,336.4806823730469
9345,506.9322204589844,-1013.8457641601562,412.6213073730469,334.00860595703125
9346,521.9927978515625,-1002.6260375976562,422.0271301269531,324.3970642089844
9347,542.78662109375,-986.7688598632812,438.5462646484375,325.8144836425781
9348,523.2493896484375,-992.7676391601562,426.6945495605469,332.4116516113281
9349,503.2409362792969,-1001.743408203125,412.3594970703125,334.40875244140625
9350,511.0685424804688,-1003.1945190429688,413.6983947753906,325.33575439453125
9351,525.5158081054689,-982.1351318359376,438.78564453125,333.8963928222656
9352,521.846923828125,-993.0855712890624,434.8250732421875,336.7686462402344
9353,497.51513671875,-1010.3863525390624,410.1080932617188,337.8494873046875
9354,510.60107421875,-1008.2134399414062,415.2840881347656,333.900146484375
9355,536.271728515625,-986.39111328125,443.01171875,337.9541931152344
9356,530.8750610351561,-998.1643676757812,439.01751708984375,339.487548828125
9357,501.42333984375,-1009.7730102539062,408.2381286621094,325.33575439453125
9358,516.611083984375,-999.1815795898438,421.0136413574219,325.0814514160156
9359,540.4828491210939,-978.3241577148438,447.6417236328125,332.7781677246094
9360,533.7996826171875,-995.0602416992188,434.3912353515625,333.9375305175781
9361,520.5641479492189,-1008.2396240234376,421.7765808105469,330.56414794921875
9362,519.0083618164061,-1004.9410400390624,427.9885559082031,323.2002868652344
9363,537.4273681640625,-989.3456420898438,447.3687133789063,330.5304870605469
9364,532.3784790039061,-997.0274047851562,447.3238220214844,341.9895324707031
9365,512.4560546875,-1015.734375,419.0726318359375,335.59429931640625
9366,510.6758728027344,-1003.8377685546876,421.9411315917969,322.5570068359375
9367,529.76806640625,-984.4239501953124,440.47979736328125,334.6331481933594
9368,529.3790893554689,-995.5613403320312,434.6492919921875,341.31634521484375
9369,502.3246765136719,-1018.7599487304688,416.5481872558594,331.36822509765625
9370,518.5296630859375,-1015.300537109375,426.44769287109375,330.2911376953125
9371,539.9405517578125,-997.0610961914062,453.1281433105469,337.6026306152344
9372,534.8019409179689,-989.7981567382812,440.9622497558594,340.9273986816406
9373,518.70166015625,-1013.3370971679688,415.7702941894531,333.7879333496094
9374,528.795654296875,-1017.0695190429688,430.13525390625,334.17315673828125
9375,531.8885498046875,-1001.5115356445312,440.4685974121094,331.50286865234375
9376,528.8592529296875,-1000.711181640625,442.5143127441406,338.1449279785156
9377,510.4364929199219,-1019.994140625,428.6505126953125,336.7723693847656
9378,517.9761352539061,-1010.2891235351562,427.93243408203125,332.8342590332031
9379,540.1649780273439,-1003.4638061523438,444.6610107421875,332.67718505859375
9380,524.6967163085939,-1000.3783569335938,432.4090881347656,335.6317138671875
9381,505.3427734375,-1016.2243041992188,413.4665222167969,333.5186767578125
9382,513.8360595703125,-1019.8931274414062,426.5150146484375,327.9125671386719
9383,534.2970581054689,-996.107421875,438.8230285644531,328.4211730957031
9384,521.7422485351561,-1006.5866088867188,422.8349609375,330.6389465332031
9385,503.7046813964844,-1021.965087890625,409.68548583984375,330.343505859375
9386,513.6602783203125,-1016.0822143554688,421.1557312011719,328.6231384277344
9387,538.9457397460939,-992.7377319335938,441.89349365234375,340.04852294921875
9388,528.6348876953125,-998.5532836914062,439.8552551269531,346.54473876953125
